,Labels,XBRLID_predicted
4092,bluestar israel global index reflects deduction fees expenses taxes withholding taxes since inception average annual return,rr_AverageAnnualReturnSinceInception
4093,vaneck vectors russia etf return before taxes average annual return,rr_AverageAnnualReturnLabel
4094,vaneck vectors russia etf return before taxes past one year average annual return,rr_AverageAnnualReturnYear01
4095,vaneck vectors russia etf return before taxes past five years average annual return,rr_AverageAnnualReturnYear05
4096,vaneck vectors russia etf return before taxes past ten years average annual return,rr_AverageAnnualReturnYear10
4097,vaneck vectors russia etf return after taxes on distributions average annual return,rr_AverageAnnualReturnLabel
4098,vaneck vectors russia etf return after taxes on distributions past one year average annual return,rr_AverageAnnualReturnYear01
4099,vaneck vectors russia etf return after taxes on distributions past five years average annual return,rr_AverageAnnualReturnYear05
4100,vaneck vectors russia etf return after taxes on distributions past ten years average annual return,rr_AverageAnnualReturnYear10
4101,vaneck vectors russia etf return after taxes on distributions and sale of fund shares average annual return,rr_AverageAnnualReturnLabel
4102,vaneck vectors russia etf return after taxes on distributions and sale of fund shares past one year average annual return,rr_AverageAnnualReturnYear01
4103,vaneck vectors russia etf return after taxes on distributions and sale of fund shares past five years average annual return,rr_AverageAnnualReturnYear05
4104,vaneck vectors russia etf return after taxes on distributions and sale of fund shares past ten years average annual return,rr_AverageAnnualReturnYear10
4105,mvis russia index reflects deduction fees expenses taxes withholding taxes average annual return,rr_AverageAnnualReturnLabel
4106,mvis russia index reflects deduction fees expenses taxes withholding taxes past one year average annual return,rr_AverageAnnualReturnYear01
4107,mvis russia index reflects deduction fees expenses taxes withholding taxes past five years average annual return,rr_AverageAnnualReturnYear05
4108,mvis russia index reflects deduction fees expenses taxes withholding taxes past ten years average annual return,rr_AverageAnnualReturnYear10
4109,vaneck vectors russia small cap etf return before taxes average annual return,rr_AverageAnnualReturnLabel
4110,vaneck vectors russia small cap etf return before taxes past one year average annual return,rr_AverageAnnualReturnYear01
4111,vaneck vectors russia small cap etf return before taxes past five years average annual return,rr_AverageAnnualReturnYear05
4112,vaneck vectors russia small cap etf return before taxes since inception average annual return,rr_AverageAnnualReturnSinceInception
4113,vaneck vectors russia small cap etf return after taxes on distributions average annual return,rr_AverageAnnualReturnLabel
4114,vaneck vectors russia small cap etf return after taxes on distributions past one year average annual return,rr_AverageAnnualReturnYear01
4115,vaneck vectors russia small cap etf return after taxes on distributions past five years average annual return,rr_AverageAnnualReturnYear05
4116,vaneck vectors russia small cap etf return after taxes on distributions since inception average annual return,rr_AverageAnnualReturnSinceInception
4117,vaneck vectors russia small cap etf return after taxes on distributions and sale of fund shares average annual return,rr_AverageAnnualReturnLabel
4118,vaneck vectors russia small cap etf return after taxes on distributions and sale of fund shares past one year average annual return,rr_AverageAnnualReturnYear01
4119,vaneck vectors russia small cap etf return after taxes on distributions and sale of fund shares past five years average annual return,rr_AverageAnnualReturnYear05
4120,vaneck vectors russia small cap etf return after taxes on distributions and sale of fund shares since inception average annual return,rr_AverageAnnualReturnSinceInception
4121,mvis russia small cap index reflects deduction fees expenses taxes withholding taxes average annual return,rr_AverageAnnualReturnLabel
4122,mvis russia small cap index reflects deduction fees expenses taxes withholding taxes past one year average annual return,rr_AverageAnnualReturnYear01
4123,mvis russia small cap index reflects deduction fees expenses taxes withholding taxes past five years average annual return,rr_AverageAnnualReturnYear05
4124,mvis russia small cap index reflects deduction fees expenses taxes withholding taxes since inception average annual return,rr_AverageAnnualReturnSinceInception
4125,vaneck vectors vietnam etf return before taxes average annual return,rr_AverageAnnualReturnLabel
4126,vaneck vectors vietnam etf return before taxes past one year average annual return,rr_AverageAnnualReturnYear01
4127,vaneck vectors vietnam etf return before taxes past five years average annual return,rr_AverageAnnualReturnYear05
4128,vaneck vectors vietnam etf return before taxes past ten years average annual return,rr_AverageAnnualReturnYear10
4129,vaneck vectors vietnam etf return after taxes on distributions average annual return,rr_AverageAnnualReturnLabel
4130,vaneck vectors vietnam etf return after taxes on distributions past one year average annual return,rr_AverageAnnualReturnYear01
4131,vaneck vectors vietnam etf return after taxes on distributions past five years average annual return,rr_AverageAnnualReturnYear05
4132,vaneck vectors vietnam etf return after taxes on distributions past ten years average annual return,rr_AverageAnnualReturnYear10
4133,vaneck vectors vietnam etf return after taxes on distributions and sale of fund shares average annual return,rr_AverageAnnualReturnLabel
4134,vaneck vectors vietnam etf return after taxes on distributions and sale of fund shares past one year average annual return,rr_AverageAnnualReturnYear01
4135,vaneck vectors vietnam etf return after taxes on distributions and sale of fund shares past five years average annual return,rr_AverageAnnualReturnYear05
4136,vaneck vectors vietnam etf return after taxes on distributions and sale of fund shares past ten years average annual return,rr_AverageAnnualReturnYear10
4137,mvis vietnam index reflects deduction fees expenses taxes withholding taxes average annual return,rr_AverageAnnualReturnLabel
4138,mvis vietnam index reflects deduction fees expenses taxes withholding taxes past one year average annual return,rr_AverageAnnualReturnYear01
4139,mvis vietnam index reflects deduction fees expenses taxes withholding taxes past five years average annual return,rr_AverageAnnualReturnYear05
4140,mvis vietnam index reflects deduction fees expenses taxes withholding taxes past ten years average annual return,rr_AverageAnnualReturnYear10
4141,vaneck vectors agribusiness etf return before taxes average annual return,rr_AverageAnnualReturnLabel
4142,vaneck vectors agribusiness etf return before taxes past one year average annual return,rr_AverageAnnualReturnYear01
4143,vaneck vectors agribusiness etf return before taxes past five years average annual return,rr_AverageAnnualReturnYear05
4144,vaneck vectors agribusiness etf return before taxes past ten years average annual return,rr_AverageAnnualReturnYear10
